file_name,recognized_text,Human-recognized Text
00FN460 (1)_crop0,"System x
 This product has been tested for
 IBM System X Units.
 Refer to the IBM Statement of Limited
 Warranty for further information.
 IBM Option: 81Y9670
 1P81Y9670
 300 GB
 15K rpm
 IBM FRU: 00FN460
 SAS 6Gb
 IBM P/N: 00FN462
 11S49Y7433Y9BZ6XN7QRC4
 DOM: 26OCT2014
 PART NUMBER: *9SW066-039*
 MODEL: ST9300653SS
 SERIAL NUMBER: *6XN7QRC4*
 WW N: 5000C5007E635AEC
 LOT NUMBER: 15182
 Site: SUZHSG
 RATED VDC AMPS
 +5V 1.10 A
 +12V 0.30 A
 HDD Mfg by Seagate Technology LLC
 Serial Attached SCSI
 20
 N176
 中国产品
 Product of China
 E14512
 100666932
 DO NOT
 HOLE","System x
This product has been tested for IBM System X Units.
Refer to the IBM Statement of Limited Warranty for further information.
IBM Option: 81Y9670
1P81Y9670
IBM FRU: 00FN460
IBM P/N: 00FN462
300GB
15K rpm
SAS 6Gb
11S49Y7433Y9BZ6XN7QRC4
PART NUMBER: *9SW066-038*
SERIAL NUMBER: *6XN7QRC4*
RATED VDC AMPS
+5V 1.10 A
+12V 0.30 A
HDD Mfg Seagate Technology LLC
DOM: 26OCT2014
MODEL: ST9300653SS
WWN: 5000C5007E635AEC
LOT NUMBER: 15182
Site: SUZHSG
Serial
Attached
SCSI
20
N176
中國產品
Product of China
E14512
100666932
DO NOT HIS HOLE
653SS(B)"
02R0998 b_crop0,"PCI-X33
 T151310
 T151310-133CE
 TUNDR
 CANADA
 99P3077
 D3600A59
 0536
 ASB - 322ESFZ56MB
 8 RAID CONT RE
 0206600
 0413
 C270
 C270","PCI-X33
 T151310
 T151310-133CE
 TUNDR
 CANADA
 99P3077
 D3600A59
 0536
 ASB - 322ESFZ56MB
 8 RAID CONT RE
 0206600
D
 0413
11S13N2188ZJ1UWZ43RDMA
FRU:02R0GG8
COURTY OF ORIGIN
MADE IN SINGAPORE"
0957-2084a_crop0,"AC POWER ADAPTER (电源适配器/静电式整流器)
 0957-2084
 INPUT 输入/输入): 100-240V-1A 50/60Hz
 OUTPUT 输出/输出): +32V=720mA
 LPS +16V=610mA +32V +16V
 CAUTION 警告: (适用于资讯类产品/适用於资讯类产品)
 FOR USE WITH INFORMATION TECHNOLOGY EQUIPMENT.
 NUR ZUM GEBRÄUCH MIT GERÄTEN NACH EN 60950.
 ATTENTION:
 UTILISER AVEC DU MATERIEL INFORMATIQUE SEULEMENT.
 Endast för kontorsmaskin.
 Apparaten skall anslutas till jordat uttag
 när den ansluts till ett nätverk.
 PRECAUCION PARA USO CON EQUIPOS DE
 TECNOLOGIA DE LA INFORMACION.
 Lette on listattu/suojelusdutisuksetetin/milla varustettuun piistorassaan.
 Apparatet må kun tikopias jordet stikkontakt.
 SERVICE PROVIDER:
 HP Korea (Korea)
 (02) 1588-3000
 MANUFACTURER:
 KTU, BK12104-A201
 Dongguang Lita Power 2nd Plant
 L.T.E. LISTED
 POWER SUPPLY
 SAFETY
 MARK
 050111-00
 JET
 Nikon Hewlett-Packard
 B190074
 L4.8
 FOR USE WITH IEC 60950 PRODUCTS ONLY.
 PA-2320-03H-ROHS
 S/N: 5Y03459304
 REV.: A1
 东莞利通电器二厂/东莞利通电器二廠
 Dongguang Lita Power 2nd Plant
 Product Of China (B)
 中国制造 / 中國製造
 FJ","AC POWER ADAPTER (電源適配器/鏡電視雙流器)
0957-2084
INPUT(輸入/輸出):100-240V-1A 50/60Hz
 OUTPUT 输出/输出): +32V=720mA
 LPS +16V=610mA +32V +16V
 CAUTION 警告: (适用于资讯类产品/适用於资讯类产品)
 FOR USE WITH INFORMATION TECHNOLOGY EQUIPMENT.
 NUR ZUM GEBRÄUCH MIT GERÄTEN NACH EN 60950.
 ATTENTION:
 UTILISER AVEC DU MATERIEL INFORMATIQUE SEULEMENT.
 Endast för kontorsmaskin.
 Apparaten skall anslutas till jordat uttag
 när den ansluts till ett nätverk.
 PRECAUCION PARA USO CON EQUIPOS DE
 TECNOLOGIA DE LA INFORMACION.
 Lette on listattu/suojelusdutisuksetetin/milla varustettuun piistorassaan.
Apparatet må kun tikopias jordet stikkontakt.
 SERVICE PROVIDER:
 HP Korea (Korea)
 (02) 1588-3000
 MANUFACTURER:
 KTU, BK12104-A201
 Dongguang Lita Power 2nd Plant
 L.T.E. LISTED
 POWER SUPPLY
 SAFETY
 MARK
 050111-00
 JET
 Nikon Hewlett-Packard
 B190074
 L4.8
 FOR USE WITH IEC 60950 PRODUCTS ONLY.
 PA-2320-03H-ROHS
 S/N: 5Y03459304
 REV.: A1
 东莞利通电器二厂/东莞利通电器二廠
 Dongguang Lita Power 2nd Plant
 Product Of China (B)
 中国制造 / 中國製造"
0Y6FC (1)_crop0,"SAMSUNG SSD PM851 mSATA 256GB
 P/N. MZMTE256HMHP-000D1
 S/N: S1EVNSAG366510
 1513
 REV 0
 2015.03
 Model: MZ-MTE256D
 KCC-REM-SEC-MZ-MTE256D
 Made in China
 SATA SSD
 256 GB
 F/W EXT4AD0Q
 CAN ICES-3(B)/NMB-3(B)
 CN-OOY6FC-74235-
 53Q-OECL-A04
 RATED:
 DC+3.3V=0.7A
 SAMSUNG ELECTRONICS CO., LTD
 WARNING: Product can be damaged by Electrostatic
 Discharge (ESD).
 www.samsung.com/ssd
 SERIAL
 ATA
 6Gb/s
 D33475 N363
 Product of CHINA
 Planet
 First
 WARRANTy Void If Removed
 CE
 Type Approved
 Safety
 Regular Production
 Surveillance
 TUV Rheinland
 CERTIFIED
 www.tuv.com
 ID 2000000000","SAMSUNG SSD PM851 mSATA 256GB
 P/N. MZMTE256HMHP-000D1
 S/N: S1EVNSAG366510
 1513
 REV 0
 2015.03
 Model: MZ-MTE256D
 KCC-REM-SEC-MZ-MTE256D
 Made in China
 SATA SSD
 256 GB
 F/W EXT4AD0Q
 CAN ICES-3(B)/NMB-3(B)
 CN-OOY6FC-74235-
 53Q-OECL-A04
 RATED:
 DC+3.3V=0.7A
 SAMSUNG ELECTRONICS CO., LTD
 WARNING: Product can be damaged by Electrostatic
 Discharge (ESD).
 www.samsung.com/ssd
 SERIAL
 ATA
 6Gb/s
 D33475 N363
 Product of CHINA
 Planet
 First
 WARRANTY VOID IF REMOVED
 CE US
 Type Approved
 Safety
 Regular Production
 Surveillance
 TUV Rheinland
20
 CERTIFIED
 www.tuv.com
 ID 2000000000"
13-2000 C Grade a_crop0,"esc f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 * ? 1 2 3 4 5 . 6 7 8 9 0 - + = backspace tab Q W E R T Y U I O P caps lock A S D F G H J K L ; "" / enter shift Z X C V B N M < , > . ? / pause ↑ shift ctrl fn alt alt ctrl home pg up end pg dn Windows7","hp esc f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 * ? 1 2 3 4 5 . 6 7 8 9 0 - + = backspace tab Q W E R T Y U I O P caps lock A S D F G H J K L ; "" / enter shift Z X C V B N M < , > . ? / pause ↑ shift ctrl fn alt alt ctrl delete home pg up end pg dn Windows7
Intel Core i5"
1C2278-037 EMC (1)_crop0,"Seagate
 Constellation® ES.3 SED
 3000GB
 RoHS
 6Gb/s Serial Attached SCSI
 KCC-REM-STX-D33027
 N176
 E106814
 HDD Mfg by Seagate Technology LLC
 SN: Z1Y3EMNL
 Product of Thailand
 MODEL NUMBER: ST3000NM0063
 VDC AMPS
 +5V 0.75 A
 +12V 0.99 A
 PN: 1C2278-037
 DATE: 15484
 FW: 0004
 WWN: 5000C50083792B90
 EMC PN: 118033259
 Seagate Secure™
 REV: 01
 PSID: VB9JV8E4V8KFHFCNMBK21GFX2FTJ1J6Y
 European Regulatory Address: Seagate Technology Int'l
 Koolhovenlaan 1, 1119 NB Schiphol - Rijk, The Netherlands","Seagate
 Constellationd ES.3 SED
 3000GB
 RoHS
 6Gb/s Serial Attached SCSI
 KCC-REM-STX-D33027
 N176
 E106814
 HDD Mfg by Seagate Technology LLC
 SN: Z1Y3EMNL
 Product of Thailand
 MODEL NUMBER: ST3000NM0063
 VDC AMPS
 +5V 0.75 A
 +12V 0.99 A
 PN: 1C2278-037
 DATE: 15484
 FW: 0004
 WWN: 5000C50083792B90
 EMC PN: 118033259
 Seagate Secure
 REV: 01
 PSID: VB9JV8E4V8KFHFCNMBK21GFX2FTJ1J6Y
 European Regulatory Address: Seagate Technology Int'l
 Koolhovenlaan 1, 1119 NB Schiphol - Rijk, The Netherlands"
1K1019a_crop0,Kodak,Kodak
1K2866c_crop0,"Asian Power Devices Inc.
 AC ADAPTER/ Input (接入端子) 100-240V,50-60Hz, 2.5A Max.
 OUTPUT (输出端子) 36V ~ 2.05A LPS.
 INPUT (输入端子) 100-240V,50-60Hz, 2.5A Max.
 OUTPUT (输出端子) 36V ~ 2.05A LPS.
 CAUTION: FOR USE WITH GROUNDED OUTLET ONLY.
 LAITE ON LISÄTÄVÄ SUJAMAAUDISTUKSETKINENVARUSTUETTA PISTEURAAAN APPARATTI MAUKUA TULLENA JORDET STIKKIONTAKSI.
 NÄNEN ANGELUSI TELL ITTI NÄYTVÄR.
 FOR USE WITH INFORMATION TECHNOLOGY EQUIPMENT ONLY.
 UTILISERER SE POUR L'ÉQUIPEMENT INFORMATIQUE SEULEMENT.
 ENREGISTREMENT DE L'INFORMATIONTECHNIQUE.
 AVISO PARA USO COM EQUIPAMENTO DE INFORMÁTICA.
 927
 UL LISTED
 FCC ID: F810
 I.T.E. Power Supply
 GS
 HSE
 OCP 0004
 N14393
 Q080191
 000000049643/001
 KODAK PN: X2966 WW
 S/N: Y38420800902906700
 AAA
 Rev: 00
 中国制造 (中國製造)
 Made in China
 CM-1
 F3","APD
Asian Power Devices Inc.
亞源科技股份有限公司
亞源科技股份有限公司
AC ADAPTER(電源供應器/電源供應器)
MODEL No. (Modelo): (型號/型號)： DA-74A36
INPUT (输入端子) 100-240V,50-60Hz, 2.5A Max.
 OUTPUT (输出端子) 36V ~ 2.05A LPS.
 CAUTION: FOR USE WITH GROUNDED OUTLET ONLY.
 LAITE ON LISÄTÄVÄ SUJAMAAUDISTUKSETKINENVARUSTUETTA PISTEURAAAN APPARATTI MAUKUA TULLENA JORDET STIKKIONTAKSI.
 NÄNEN ANGELUSI TELL ITTI NÄYTVÄR.
 FOR USE WITH INFORMATION TECHNOLOGY EQUIPMENT ONLY.
 UTILISERER SE POUR L'ÉQUIPEMENT INFORMATIQUE SEULEMENT.
 ENREGISTREMENT DE L'INFORMATIONTECHNIQUE.
 AVISO PARA USO COM EQUIPAMENTO DE INFORMÁTICA.
9Z07
US LISTED
E168210
 FCC ID: F810
 I.T.E. Power Supply
Tuvrhainland OCP 0004
000000049643/001
Tested to comply with FCC standards
For home or office use
 KODAK PN: X2966 WW
 S/N: Y38420800902906700
 AAA
 Rev: 00
 中国制造 (中國製造)
 Made in China
 CM-1
 F3"
2.12.2024 JA 1-38_crop0,"PA-30C
 CALIFONE","PA-30C
CALIFORNIA"
2.12.2024 JA 1-46_crop0,"EASTMAN KODAK COMPANY
 UNLOCK LOCK","EASTMAN KODAK COMPANY
 UNLOCK LOCK
U.S.A. EASTMAN KODAK COMPANY
UNIVERSE"
